,Target var,Target,Domain,Accuracy type,Type,Number of features
nec_HCP-D_emotsupp_cod,emotsupp,Emotional Support,Mental health,cod,necessary,1
best_top1_HCP-D_friendship_cod,friendship,Friendship,Mental health,cod,best,1
best_top2_HCP-D_friendship_cod,friendship,Friendship,Mental health,cod,best,24
best_top3_HCP-D_friendship_cod,friendship,Friendship,Mental health,cod,best,23
nec_HCP-D_friendship_cod,friendship,Friendship,Mental health,cod,necessary,1
best_top1_HCP-D_loneliness_cod,loneliness,Loneliness,Mental health,cod,best,1
best_top2_HCP-D_loneliness_cod,loneliness,Loneliness,Mental health,cod,best,18
best_top3_HCP-D_loneliness_cod,loneliness,Loneliness,Mental health,cod,best,24
nec_HCP-D_loneliness_cod,loneliness,Loneliness,Mental health,cod,necessary,1
best_top1_HCP-D_neoffi_n_cod,neoffi_n,Neuroticism (NEO),Personality,cod,best,1
best_top2_HCP-D_neoffi_n_cod,neoffi_n,Neuroticism (NEO),Personality,cod,best,24
best_top3_HCP-D_neoffi_n_cod,neoffi_n,Neuroticism (NEO),Personality,cod,best,23
nec_HCP-D_neoffi_n_cod,neoffi_n,Neuroticism (NEO),Personality,cod,necessary,1
best_top1_HCP-D_neoffi_e_cod,neoffi_e,Extraversion (NEO),Personality,cod,best,1
best_top2_HCP-D_neoffi_e_cod,neoffi_e,Extraversion (NEO),Personality,cod,best,20
best_top3_HCP-D_neoffi_e_cod,neoffi_e,Extraversion (NEO),Personality,cod,best,22
nec_HCP-D_neoffi_e_cod,neoffi_e,Extraversion (NEO),Personality,cod,necessary,1
best_top1_HCP-D_neoffi_o_cod,neoffi_o,Openness (NEO),Personality,cod,best,1
best_top2_HCP-D_neoffi_o_cod,neoffi_o,Openness (NEO),Personality,cod,best,24
best_top3_HCP-D_neoffi_o_cod,neoffi_o,Openness (NEO),Personality,cod,best,23
nec_HCP-D_neoffi_o_cod,neoffi_o,Openness (NEO),Personality,cod,necessary,1
best_top1_HCP-D_neoffi_a_cod,neoffi_a,Agreeableness (NEO),Personality,cod,best,1
best_top2_HCP-D_neoffi_a_cod,neoffi_a,Agreeableness (NEO),Personality,cod,best,21
best_top3_HCP-D_neoffi_a_cod,neoffi_a,Agreeableness (NEO),Personality,cod,best,24
nec_HCP-D_neoffi_a_cod,neoffi_a,Agreeableness (NEO),Personality,cod,necessary,1
best_top1_HCP-D_neoffi_c_cod,neoffi_c,Conscientiousness (NEO),Personality,cod,best,1
best_top2_HCP-D_neoffi_c_cod,neoffi_c,Conscientiousness (NEO),Personality,cod,best,23
best_top3_HCP-D_neoffi_c_cod,neoffi_c,Conscientiousness (NEO),Personality,cod,best,24
nec_HCP-D_neoffi_c_cod,neoffi_c,Conscientiousness (NEO),Personality,cod,necessary,1
